title,link,path,subject,num_pages
القرآن-الكريم,https://www.islamweb.net/ar/fatawa/350/القرآن-الكريم,القرآن-الكريم,,3
مقدمات في القرآن,https://www.islamweb.net/ar/fatawa/352/%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86,القرآن-الكريم#مقدمات في القرآن,القرآن-الكريم,21
نزول القرآن الكريم,https://www.islamweb.net/ar/fatawa/358/%D9%86%D8%B2%D9%88%D9%84-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#نزول القرآن الكريم,القرآن-الكريم,2
جمع القرآن الكريم,https://www.islamweb.net/ar/fatawa/368/%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#جمع القرآن الكريم,القرآن-الكريم,2
قراءات القرآن,https://www.islamweb.net/ar/fatawa/378/%D9%82%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86,القرآن-الكريم#قراءات القرآن,القرآن-الكريم,6
فن قراءة القرآن الكريم,https://www.islamweb.net/ar/fatawa/384/%D9%81%D9%86-%D9%82%D8%B1%D8%A7%D8%A1%D8%A9-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#فن قراءة القرآن الكريم,القرآن-الكريم,1
التفسير والمفسرون,https://www.islamweb.net/ar/fatawa/390/%D8%A7%D9%84%D8%AA%D9%81%D8%B3%D9%8A%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D9%81%D8%B3%D8%B1%D9%88%D9%86,القرآن-الكريم#التفسير والمفسرون,القرآن-الكريم,5
ترجمة القرآن الكريم,https://www.islamweb.net/ar/fatawa/406/%D8%AA%D8%B1%D8%AC%D9%85%D8%A9-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#ترجمة القرآن الكريم,القرآن-الكريم,1
إعجاز القرآن الكريم,https://www.islamweb.net/ar/fatawa/414/%D8%A5%D8%B9%D8%AC%D8%A7%D8%B2-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#إعجاز القرآن الكريم,القرآن-الكريم,2
من علوم القرآن الكريم,https://www.islamweb.net/ar/fatawa/434/%D9%85%D9%86-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,القرآن-الكريم#من علوم القرآن الكريم,القرآن-الكريم,2
